type,authors,year,title,journal,volume,doi,url
academic,"Sun, Y., & Ye, Y.",2026,"The rise and characteristics of China in global environmental governance: Insights from China's global environmental leadership database",Earth System Governance,"29, 100339",10.1016/j.esg.2026.100339,
academic,"Morin, J.-F., Hollway, J., Sun, Y., Vadrot, A. B. M., Allan, J., Bernauer, T., Betsill, M. M., Brandi, C., Fast, C., Kim, R. E., Laurens, N., Lecavalier, E., McCracken, M., Mitchell, R. B., Morton, K., Orsini, A., Papin, M., Rowan, S., & Widerberg, O. E.",2026,"Dataset development in earth system governance: Learnings, stakes, and pathways for impact",Earth System Governance,"28, 100328",10.1016/j.esg.2026.100328,
non-academic,"Patel, A.",2026,"Interview: Dr Sun Yixian on his new database tracking Chinese climate ‘leadership’",Carbon Brief,,,https://www.carbonbrief.org/interview-dr-sun-yixian-on-his-new-database-tracking-chinese-climate-leadership
non-academic,"O'Farrell, S.",2026,"Is China becoming a global climate leader?",Sustainable Views,,,https://www.sustainableviews.com/is-china-becoming-a-global-climate-leader-56487a3e/
non-academic,"Lin, Z.",2026,"Can China’s nearly 300 cross-border environmental initiatives under its leadership support global climate leadership?",Lianhe Zaobao,,,https://www.zaobao.com.sg/news/china/story20260822-9490812
